ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Nuevo;1;1;M;COLEGIO;SANTA ISABEL;PRIVADA;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;1;1
Nuevo;0;0;F;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);NOCHE;SIN BENEFICIO;Virtual;5. >=30;No;0;0
Nuevo;1;1;F;COLEGIO;VIRGEN DEL CARMEN;PRIVADA;LIMA;LIMA;CIENEGUILLA;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;1;1;F;;20037 SANTISIMA CRUZ;;LIMA;LIMA;SAN LUIS;Carreras Pregrado;UTP Lima Centro;Fac. Hum y CC Soc;PSICOLOGIA;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;0;0;M;COLEGIO;1204 VILLA JARDIN;ESTATAL;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;;SIN BENEFICIO;Por calcular;1. <=18;No;0;0
Nuevo;0;0;F;;;;LIMA;LIMA;LURIN;Carreras Pregrado;UTP Lima Centro;Fac. Salud;OBSTETRICIA;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;1;1;F;INSTITUTO;SISE (FORMACION EDUCATIVA);PRIVADA;LIMA;LIMA;SANTA ANITA;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;CIENCIAS DE LA COMUNICACIÓN;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Nuevo;0;0;M;;CRISTIANO PERUANO AMERICANO;;LIMA;LIMA;VILLA EL SALVADOR;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;0;0
Nuevo;1;1;M;;POLICIA;;LIMA;LIMA;LINCE;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Virtual;5. >=30;No;3;0
Nuevo;0;0;M;;GUILLERMO E BILLINGHURST;;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (50/50);MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;3
