PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1,NAT_MARK,Year-DOB,Month-DOB,NAT_MARK_range,NAT_MARK_range_encoded
2,1,1,27.0,10.0,24.0,43.2,2007,7,0-60,0
2,1,1,27.0,16.0,32.0,41.1,2007,2,0-60,0
2,1,1,21.0,4.0,8.0,37.7,2007,9,0-60,0
2,1,1,29.0,14.0,42.0,58.3,2007,10,0-60,0
2,1,1,30.0,18.0,47.0,44.2,2007,7,0-60,0
2,1,1,24.0,17.0,34.0,38.9,2007,10,0-60,0
2,1,1,29.0,20.0,45.0,52.9,2007,5,0-60,0
2,1,1,27.0,18.0,43.0,56.8,2007,11,0-60,0
2,1,1,29.0,18.0,40.0,43.2,2007,4,0-60,0
2,1,1,30.0,20.0,46.0,58.3,2007,3,0-60,0
2,1,1,28.0,14.0,42.0,56.1,2007,10,0-60,0
2,1,1,30.0,19.0,41.0,46.1,2007,2,0-60,0
2,1,1,27.0,14.0,46.0,45.2,2007,8,0-60,0
2,1,1,28.0,12.0,33.0,32.4,2007,2,0-60,0
2,1,1,29.0,20.0,47.0,61.2,2007,6,60-70,1
2,1,1,30.0,19.0,47.0,56.1,2007,4,0-60,0
2,1,1,28.0,13.0,32.0,41.1,2007,6,0-60,0
2,1,1,28.0,12.0,23.0,36.5,2007,12,0-60,0
2,1,1,27.0,16.0,45.0,49.7,2007,9,0-60,0
2,1,1,29.0,18.0,47.0,50.5,2007,12,0-60,0
2,1,1,29.0,20.0,44.0,51.3,2007,6,0-60,0
2,1,1,30.0,19.0,42.0,52.9,2007,8,0-60,0
2,1,1,26.0,14.0,24.0,37.7,2007,12,0-60,0
2,1,1,27.0,13.0,29.0,35.2,2007,9,0-60,0
2,1,1,29.0,19.0,43.0,51.3,2007,9,0-60,0
2,1,1,30.0,20.0,48.0,55.3,2007,5,0-60,0
2,1,1,25.0,14.0,25.0,51.3,2007,10,0-60,0
2,1,1,29.0,19.0,47.0,57.6,2007,3,0-60,0
2,1,1,28.0,17.0,35.0,37.7,2007,9,0-60,0
2,1,1,29.0,17.0,40.0,51.3,2007,11,0-60,0
2,1,1,29.0,20.0,42.0,49.7,2007,7,0-60,0
